System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,,,,,,KITSUMA AIR - OUTER AIR CAN,Extra UK,,,Cane Creek,,,44.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA AIR - INNER AIR CAN - 210,Extra UK,,,Cane Creek,,,59.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA AIR - INNER AIR CAN - 230,Extra UK,,,Cane Creek,,,59.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA AIR - INNER AIR CAN - 250,Extra UK,,,Cane Creek,,,59.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA AIR - 1250mm NEG VOLUME REDUCER,Extra UK,,,Cane Creek,,,2.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - AIR STROKE VOL REDUCER 7.5mm,Extra UK,,,Cane Creek,,,19.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - AIR STROKE VOLUME REDUCER 5mm,Extra UK,,,Cane Creek,,,19.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA COIL - PRELOAD NUT O-RING 34x2mm,Extra UK,,,Cane Creek,,,1.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - AIR SEAL HEAD O-RING -132,Extra UK,,,Cane Creek,,,2.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - MAIN OIL PISTON SUBASSEMBLY,Extra UK,,,Cane Creek,,,22.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - INNER SHAFT 185/210mm,Extra UK,,,Cane Creek,,,19.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - INNER SHAFT 205/230mm,Extra UK,,,Cane Creek,,,19.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - OUTER SHAFT 185/210mm,Extra UK,,,Cane Creek,,,6.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - OUTER SHAFT 205/230mm,Extra UK,,,Cane Creek,,,6.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - DAMPER TUBE 185/210mm,Extra UK,,,Cane Creek,,,24.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - DAMPER TUBE 205/230mm,Extra UK,,,Cane Creek,,,27.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - RAMP TUBE 185/210mm,Extra UK,,,Cane Creek,,,27.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - RAMP TUBE 205/230mm,Extra UK,,,Cane Creek,,,32.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - RAMP TUBE WIPER,Extra UK,,,Cane Creek,,,6.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - INNER MEGA RES TUBE,Extra UK,,,Cane Creek,,,8.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - IFP,Extra UK,,,Cane Creek,,,5.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - MAIN PISTON 0.5mm PRELOAD,Extra UK,,,Cane Creek,,,5.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - TOP OUT SPRING,Extra UK,,,Cane Creek,,,2.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - TOP OUT SPRING RETAINER,Extra UK,,,Cane Creek,,,4.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - CS LEVER,Extra UK,,,Cane Creek,,,8.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,TIGON - REBOUND CHECK PISTON SUBASSEMBLY,Extra UK,,,Cane Creek,,,4.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,EE RM LEGACY LINK SPOKE TI SWIVEL,Extra UK,,,Cane Creek,,,12.99,,CC SPARES - COMPONENTS,,,
,,,,,,EE DM LEGACY LINK LONG ADJUSTER,Extra UK,,,Cane Creek,,,12.99,,CC SPARES - COMPONENTS,,,
,,,,,,EE DM ARM AXLE REAR - LEVER G4,Extra UK,,,Cane Creek,,,9.99,,CC SPARES - COMPONENTS,,,
,,,,,,EE DM ARM AXLE REAR - STRUT G4,Extra UK,,,Cane Creek,,,9.99,,CC SPARES - COMPONENTS,,,
,,,,,,EE BRAKE CABLE BOLT TI T25,Extra UK,,,Cane Creek,,,4.99,,CC SPARES - COMPONENTS,,,
,,,,,,EE MAIN SPRING G4,Extra UK,,,Cane Creek,,,9.99,,CC SPARES - COMPONENTS,,,
,,,,,,EE RM ARM AXLE - STRUT G4,Extra UK,,,Cane Creek,,,9.99,,CC SPARES - COMPONENTS,,,
,,,,,,C/CRK 70 H/BENDER - IS42/IS52 H/SET BLUE,Extra UK,,,Cane Creek,,,109.99,,CC HEADSETS,,,
,,,,,,C/CRK 70 H/BENDER - IS42/IS52 H/SET RED,Extra UK,,,Cane Creek,,,109.99,,CC HEADSETS,,,
,,,,,,EESILK STEM FACEPLATE KIT,Extra UK,,,Cane Creek,,,34.99,,CC SPARES - COMPONENTS,,,
,,,,,,KITSUMA COIL - ADJUSTMENT NUT & O-RING,Extra UK,,,Cane Creek,,,24.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - RESERVOIR END SUBASSEMBLY ,Extra UK,,,Cane Creek,,,10.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - AIR - TRUNNION - 205/65 - G2,Extra UK,,,Cane Creek,,,749.99,,CC SHOCKS,,,
,,,,,,CCDB TORX BOLT M4 0.7x6mm,Extra UK,,,Cane Creek,,,5.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB QUADRING SEAL HEAD,Extra UK,,,Cane Creek,,,4.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CB PEDAL REFRESH KIT LEVEL 11,Extra UK,,,Crankbrothers,,,29.99,,CRANKBRS - PD CLEATS,,,
,,,,,,CB S/POST HLINE XCG SERVICE KIT,Extra UK,,,Crankbrothers,,,24.99,,CRNK - SPARES S/POST,,,
,,,,,,CB PDL BASH RING,Extra UK,,,Crankbrothers,,,1.99,,CRNK - SPARES PEDL,,,
,,,,,,CB PDL BEARING INNER STAMP 16,Extra UK,,,Crankbrothers,,,1.99,,CRNK - SPARES PEDL,,,
,,,,,,CB PDL BEARING OUTER DOUBLE SHOT 16094,Extra UK,,,Crankbrothers,,,1.99,,CRNK - SPARES PEDL,,,
,,,,,,CB PDL BEARING OUTER STAMP 16,Extra UK,,,Crankbrothers,,,1.99,,CRNK - SPARES PEDL,,,
,,,,,,CB PDL BEARING RETAINER STAMP,Extra UK,,,Crankbrothers,,,1.99,,CRNK - SPARES PEDL,,,
,,,,,,CB PDL BEARING SPACER PLASTIC NXT/G,Extra UK,,,Crankbrothers,,,1.99,,CRNK - SPARES PEDL,,,
,,,,,,CB PDL BODY CANDY 1 BLACK,Extra UK,,,Crankbrothers,,,3.99,,CRNK - SPARES PEDL,,,
,,,,,,CB PDL BODY CANDY 1 BLUE,Extra UK,,,Crankbrothers,,,3.99,,CRNK - SPARES PEDL,,,
,,,,,,CB PDL BODY CANDY 1 PINK,Extra UK,,,Crankbrothers,,,3.99,,CRNK - SPARES PEDL,,,
,,,,,,CB PDL BODY CANDY 1 RED,Extra UK,,,Crankbrothers,,,3.99,,CRNK - SPARES PEDL,,,
