Product Category,Product Group,Product Brand,Product Model,Product Type,Product Colour,Product Size,Short Description,Unit,Trade Price (Â£),Qty Price (Â£),Retail Price (Â£),Quantity Break,Barcode,Commodity Code,Product Name,Manufacturer Part Code,IDPartnumber,Supplier
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor,Disc Rotor for Speedhub - 2.0mm thick - Suit Magura brakes,Silver,180mm,ROHL SPDHUB 2.0mm DISC ROTOR 180mm,Each,39.99,39.99,69.99,0,4250307409082,8714930090,Disc Brake Rotor,8283,HURODM180,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor,Disc Rotor for Speedhub - 2.0mm thick - Suit Magura brakes,Silver,203mm,ROHL SPDHUB 2.0mm DISC ROTOR 203mm,Each,39.99,39.99,69.99,0,4250307409099,8714930090,Disc Brake Rotor,8284,HURODM203,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor,Disc Rotor for Speedhub - 1.8mm thick - Suit Shimano/Hayes etc.,Silver,203mm,ROHL.SPDHUB 1.8mm DISC ROTOR 203mm,Each,39.99,39.99,69.99,0,4250307402366,8714930090,Disc Brake Rotor,8286,HURODR203,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor,Disc Rotor for Speedhub - 1.8mm thick - Suit Shimano/Hayes etc.,Silver,160mm,ROHL.SPDHUB 1.8mm DISC ROTOR 160mm,Each,34.28,34.28,59.99,0,4250307402342,8714930090,Disc Brake Rotor,8281,HURODR60,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor,Disc Rotor for Speedhub - 1.8mm thick - Suit Shimano/Hayes etc.,Silver,180mm,ROHL.SPDHUB 1.8mm DISC ROTOR 180mm,Each,39.99,39.99,69.99,0,4250307402373,8714930090,Disc Brake Rotor,8287,HURODR80,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor,ABS Disc Rotor for Speedhub - 2.0mm thick - TW-Radius 58mm,Silver,180mm,ROHL.SPDHUB ABS DISC ROTOR 180mm,Each,39.99,39.99,69.99,0,4250307410811,8714930090,ABS Disc Rotor for Speedhub,8300,HURODRA180,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor,ABS Disc Rotor for Speedhub - 2.0mm thick - TW-Radius 58mm,Silver,203mm,ROHL.SPDHUB ABS DISC ROTOR 203mm,Each,39.99,39.99,69.99,0,4250307410828,8714930090,ABS Disc Rotor for Speedhub,8301,HURODRA203,Ison
Hubs & Cassettes,Hub Spares,Rohloff,Speedhub Disc Rotor,ABS Disc Rotor for Speedhub - 2.0mm thick - TW-Radius 58mm,Silver,220mm,ROHL.SPDHUB ABS DISC ROTOR 220mm,Each,39.99,39.99,69.99,0,4250307410835,8714930090,ABS Disc Rotor for Speedhub,8302,HURODRA220,Ison
Hubs & Cassettes,Hubs - Fatbike,Rohloff,Speedhub XL 170,"#8022 XL CC DB - 170mm wide - 14sp Hub, Disc Brk, QR, Ext. Cable Route",Black,32H,ROHL.SPEEDHUB XL DB CC 32H BLK,Each,1031.25,979.69,1650.00,0,4250307405374,8714930090,Speedhub XL 500/14,8022 XL,HUROSFDK,Ison
Hubs & Cassettes,Hubs - Fatbike,Rohloff,Speedhub XL 170,"#8062 XL TS DB - 170mm wide -14sp, Disc Brk Solid Axle, Ext. Cable Route",Black,32H,ROHL.SPEEDHUB XL DB TS 32H BLK,Each,984.38,935.16,1575.00,0,4250307405558,8714930090,Speedhub XL 500/14,8062 XL,HUROSFEK,Ison
