SKU,StyleCode,Name,UPC,SRP,Colour,Size,BoxQuantity,ProductCategory,Brand,GoldPrice,Currency,Supplier
PS4315021070,PS4315021070,"RockShox Reverb Hydraulic Fluid, 120ml Bottle - Reverb A1-B1 Post/All Reverb Remotes/Sprint Remotes:  ",7.10846E+11,5,NO COLOUR,NO SIZE,,Lubes & Grease,RockShox,2.73,GBP,Zyrofisher
PS4315022010,PS4315022010,RockShox Schrader Valve Removal Tool Rockshox:  ,7.10846E+11,7,NO COLOUR,NO SIZE,,Suspension,RockShox,3.48,GBP,Zyrofisher
PS4315023010,PS4315023010,RockShox High-Pressure Fork/Shock Pump (300 psi Max) RockShox:  ,7.10846E+11,38,NO COLOUR,NO SIZE,,Pumps and CO2,RockShox,19.15,GBP,Zyrofisher
PS4315023020,PS4315023020,RockShox Air Pump (300 psi MAX/high volume convertable) RockShox Boxxer:  ,7.10846E+11,54,NO COLOUR,NO SIZE,,Pumps and CO2,RockShox,26.86,GBP,Zyrofisher
PS4315026010,PS4315026010,RockShox 1/2x1/2 Rear Shock Bushing Tool (Eyelet/SealHead) RockShox:  ,7.10846E+11,20,NO COLOUR,NO SIZE,,Suspension,RockShox,10.11,GBP,Zyrofisher
PS4315027010,PS4315027010,RockShox Air Valve Adapter Tool - RockShox Monarch:  ,7.10846E+11,11,NO COLOUR,NO SIZE,,Suspension,RockShox,5.05,GBP,Zyrofisher
PS4315028010,PS4315028010,RockShox Spanner Wrench/Air Valve/Torx Tool - RockShox Vivid/Vivid Air:  ,7.10846E+11,45,NO COLOUR,NO SIZE,,Suspension,RockShox,22.76,GBP,Zyrofisher
PS4315029010,PS4315029010,RockShox Wrench Air Can - RockShox Vivid Air:  ,7.10846E+11,27,NO COLOUR,NO SIZE,,Suspension,RockShox,13.92,GBP,Zyrofisher
PS5154020,PS5154020,RockShox VISE BLOCK 3 HOLE REAR SHOCK: GOLD ,7.10846E+11,53,GOLD,NO SIZE,,Suspension,RockShox,26.31,GBP,Zyrofisher
PS5315027000,PS5315027000,SRAM Cable Housing/Hydraulic Line Rotating Hooks - Qty 4:  ,7.10846E+11,7,NO COLOUR,NO SIZE,,Brake and Gear Cables,Sram,3.97,GBP,Zyrofisher
PS5315028020,PS5315028020,SRAM Hydraulic Hose Barb Driver Tool Hand-Held (Works With Threaded And Barbed): GREY ,7.10846E+11,44,GREY,NO SIZE,,Tools,Sram,17.87,GBP,Zyrofisher
PS5WT,PS5WT,RockShox Suspension Oil 5wt 32oz 1 Litre Bottle:  ,7.10846E+11,26,NO COLOUR,NO SIZE,,Lubes & Grease,RockShox,12.19,GBP,Zyrofisher
PS7915051010,PS7915051010,SRAM Outer Cable Frame Protector Rubber Black - Qty 4:  ,7.10846E+11,8,NO COLOUR,NO SIZE,,Brake and Gear Cables,Sram,4.96,GBP,Zyrofisher
PS7915052030,PS7915052030,SRAM Compact Barrel Adjuster Alloy Black SRAM Qty 2:  ,7.10846E+11,19,NO COLOUR,NO SIZE,,Brakes,Sram,8.13,GBP,Zyrofisher
PS7915073010,PS7915073010,SRAM Cable Housing Cutter Tool w/ Awl:  ,7.10846E+11,50,NO COLOUR,NO SIZE,,Tools,Sram,23.59,GBP,Zyrofisher
PS8015001,PS8015001,"SRAM Tool Bleeding Edge - For Use With Avid Pro Bleed Kit -  S4/Monoblock Calipers, Guide Ultimate/RSC (B1)/RS (B1)/R (B1)/Level ULT/Level TLM:  ",7.10846E+11,24,NO COLOUR,NO SIZE,,Tools,Sram,12.61,GBP,Zyrofisher
PS8017000,PS8017000,SRAM DOT 5.1 Hydraulic Brake Fluid 4oz - 120ml:  120ML,7.10846E+11,13,NO COLOUR,120ML,,Lubes & Grease,Sram,6.32,GBP,Zyrofisher
PS8035000,PS8035000,Sram Spare - Disc Brake Service Sram Guide Spare Parts Tackle Box - DiscBrake:  ,7.10846E+11,294,NO COLOUR,NO SIZE,,Brakes,Sram,159.32,GBP,Zyrofisher
PS8055000,PS8055000,"RockShox Rear Shock Spring Compressor Tool, Counter Measure - Super Deluxe/Deluxe Coil B1+(2023+), Vivid C1+ (2024+):  ",7.10846E+11,91,NO COLOUR,NO SIZE,,Suspension,RockShox,45.32,GBP,Zyrofisher
PSG8008000,PSG8008000,SRAM Grease - Butter 20ml Syringe:  ,7.10846E+11,8,NO COLOUR,NO SIZE,,Lubes & Grease,Sram,5.21,GBP,Zyrofisher
PSG8008001,PSG8008001,SRAM Grease - Butter 1oz:  ,7.10846E+11,12,NO COLOUR,NO SIZE,,Lubes & Grease,Sram,5.97,GBP,Zyrofisher
PSG8023000,PSG8023000,"SRAM Dot Assembly Grease 1OZ - Recommended For Lever pistons, Hose Compression Nuts, Threaded Barbs & Olives:  ",7.10846E+11,11,NO COLOUR,NO SIZE,,Lubes & Grease,Sram,5.5,GBP,Zyrofisher
PSG8047000,PSG8047000,SRAM Hydraulic Brake Grease 1Oz:  1OZ,7.10846E+11,10,NO COLOUR,1OZ,,Lubes & Grease,Sram,5.31,GBP,Zyrofisher
QS8000001,QS8000001,"Quarq Spare - Bottom Bracket Spindle Spacer Kit BB30 Quarq MTB (Drive Side Spacer 15.46, Outer/Inner Adjuster Rings and Screw):  BB30",7.10846E+11,7,NO COLOUR,BB30,,COMPONENT,Sram,3.09,GBP,Zyrofisher
QSP009001,QSP009001,Quarq Spare - TYREWIZ BATTERY HATCH AND VALVE (INCLUDING VALVE WRENCH):  ,7.10846E+11,38,NO COLOUR,NO SIZE,,COMPONENT,Sram,16.2,GBP,Zyrofisher
QSP8011003,QSP8011003,"Quarq Spare - Tyrewiz Tl Valve And Skirt Kit For 101 XPLR (2 Tubeless Valves, Battery Hatch And Valve With 2 Rim Skirts And Valve Core Removal Tool) 2021:  ",7.10846E+11,59,NO COLOUR,NO SIZE,,Wheel Spares,Sram,25.9,GBP,Zyrofisher
QSP8032000,QSP8032000,Quarq Tyrewiz 2.0 Valve Stem Packs:  LENGTH A (1-8.2MM),7.10846E+12,30,NO COLOUR,LENGTH A (1-8.2MM),,Wheel Spares,Quarq,20.82,GBP,Zyrofisher
QSP8032001,QSP8032000,Quarq Tyrewiz 2.0 Valve Stem Packs:  LENGTH B (8.2-15.4MM,7.10846E+11,30,NO COLOUR,LENGTH B (8.2-15.4MM,,Wheel Spares,Quarq,20.82,GBP,Zyrofisher
QSP8032002,QSP8032000,Quarq Tyrewiz 2.0 Valve Stem Packs:  LENGTH C (15.4-22.6M,7.10846E+11,30,NO COLOUR,LENGTH C (15.4-22.6M,,Wheel Spares,Quarq,20.82,GBP,Zyrofisher
QSP8032003,QSP8032000,Quarq Tyrewiz 2.0 Valve Stem Packs:  LENGTH D (22.6-29.8M,7.10846E+11,30,NO COLOUR,LENGTH D (22.6-29.8M,,Wheel Spares,Quarq,20.82,GBP,Zyrofisher
QSP8032004,QSP8032000,Quarq Tyrewiz 2.0 Valve Stem Packs:  LENGTH E (29.8-37.0M,7.10846E+11,30,NO COLOUR,LENGTH E (29.8-37.0M,,Wheel Spares,Quarq,20.82,GBP,Zyrofisher
QSP8032005,QSP8032000,Quarq Tyrewiz 2.0 Valve Stem Packs:  LENGTH F (30.0-44.2M,7.10846E+11,30,NO COLOUR,LENGTH F (30.0-44.2M,,Wheel Spares,Quarq,20.82,GBP,Zyrofisher
QSP8032006,QSP8032000,Quarq Tyrewiz 2.0 Valve Stem Packs:  LENGTH G (44.2-51.4M,7.10846E+11,30,NO COLOUR,LENGTH G (44.2-51.4M,,Wheel Spares,Quarq,20.82,GBP,Zyrofisher
QSP8032007,QSP8032000,Quarq Tyrewiz 2.0 Valve Stem Packs:  LENGTH H (51.4-58.6M,7.10846E+11,30,NO COLOUR,LENGTH H (51.4-58.6M,,Wheel Spares,Quarq,20.82,GBP,Zyrofisher
QSP8032008,QSP8032000,Quarq Tyrewiz 2.0 Valve Stem Packs:  LENGTH I (58.6-65.8M,7.10846E+11,30,NO COLOUR,LENGTH I (58.6-65.8M,,Wheel Spares,Quarq,20.82,GBP,Zyrofisher
QSP8032009,QSP8032000,Quarq Tyrewiz 2.0 Valve Stem Packs:  LENGTH J (65.8-73.0M,7.10846E+11,30,NO COLOUR,LENGTH J (65.8-73.0M,,Wheel Spares,Quarq,20.82,GBP,Zyrofisher
QSP8032010,QSP8032000,Quarq Tyrewiz 2.0 Valve Stem Packs:  LENGTH K (73.0-80.2M,7.10846E+11,30,NO COLOUR,LENGTH K (73.0-80.2M,,Wheel Spares,Quarq,20.82,GBP,Zyrofisher
QSW182000,QSW182000,Quarq Spare Part - Shockwiz Mount and Cover: BLACK ,7.10846E+11,36,BLACK,NO SIZE,,Suspension,Sram,18.87,GBP,Zyrofisher
QTW8382033,QTW8382033,"Quarq Tyrewiz 2.0 Air Pressure Sensor For Presta Valve (2 Sensors W/ Batteries, 2 Rubber Bumpers And A Rim Depth Guage):  ",7.10846E+12,130,NO COLOUR,NO SIZE,,Wheel Spares,Quarq,88.17,GBP,Zyrofisher
R0290000,R0290000,"RockShox Spare - Front Suspension Service Dust Seal/Foam Ring Grey 32mm Seal,10mm Foam Ring - Revelation/Argyle/Sektor/Tora/Recon/XC32: GREY ",7.10845E+11,16,GREY,NO SIZE,,Suspension,Sram,6.79,GBP,Zyrofisher
R0444000,R0444000,RockShox Dust Seal Instalation Tool (28/30mm):  ,7.10845E+11,20,NO COLOUR,NO SIZE,,Suspension,RockShox,10.23,GBP,Zyrofisher
R046000,R046000,RockShox Rear Shock Mounting Hardware 1/2X1/2 12.70X8 Center Pin (06 Specialized Demo 8 shaft eyelet):  ,7.10846E+11,13,NO COLOUR,NO SIZE,,Suspension,Sram,6.2,GBP,Zyrofisher
R0695000,R0695000,RockShox Spare - Front Suspension Service Dust Seal 32mm Grey - SID/Revelation/Reba/Argyle/Sektor/Tora/Recon/XC32 Qty 20: GREY ,7.10845E+11,117,GREY,NO SIZE,,Suspension,Sram,50.9,GBP,Zyrofisher
R0698000,R0698000,RockShox Spare - Front Suspension Service Foam Ring 32mm X 10mm - Revelation/Argyle/Sektor/Tora/Recon/XC32 Qty 20:  ,7.10845E+11,20,NO COLOUR,NO SIZE,,Suspension,Sram,8.75,GBP,Zyrofisher
R0703000,R0703000,RockShox Spare - Front Suspension Service SID Service Kit:  ,7.10845E+11,30,NO COLOUR,NO SIZE,,Suspension,RockShox,13.05,GBP,Zyrofisher
R0706000,R0706000,RockShox Spare - Front Suspension Service Tora/Recon Silver Turnkey/Motion Control/Solo Air Service Kit:  ,7.10845E+11,25,NO COLOUR,NO SIZE,,Suspension,RockShox,11.19,GBP,Zyrofisher
